Trigger Date,Trigger Time,Instrument,Buy/Sell,Quantity,Price,Cumulative P&L,Trigger type
NSE_WIPRO results
02 Feb 2024,12:30 PM,NSE_BPCL,BUY,10,274.05,156.5,EN
02 Feb 2024,02:14 PM,NSE_BPCL,SELL,-10,282.25,238.5,TP
02 Feb 2024,02:53 PM,NSE_BPCL,BUY,10,279.9,238.5,EN
05 Feb 2024,09:51 AM,NSE_BPCL,SELL,-10,288.3,322.5,TP
05 Feb 2024,12:48 PM,NSE_BPCL,BUY,10,291.15,322.5,EN
06 Feb 2024,01:15 PM,NSE_BPCL,SELL,-10,299.90000000000003,410,TP
06 Feb 2024,01:33 PM,NSE_BPCL,BUY,10,299.9,410,EN
07 Feb 2024,09:57 AM,NSE_BPCL,SELL,-10,308.90000000000003,500,TP
07 Feb 2024,11:23 AM,NSE_BPCL,BUY,10,304.9,500,EN
08 Feb 2024,01:56 PM,NSE_BPCL,SELL,-10,314.05,591.5,TP
08 Feb 2024,02:16 PM,NSE_BPCL,BUY,10,314.95,591.5,EN
15 Feb 2024,12:05 PM,NSE_BPCL,SELL,-10,324.40000000000003,686,TP
15 Feb 2024,12:18 PM,NSE_BPCL,BUY,10,322.9,686,EN
16 Feb 2024,09:15 AM,NSE_BPCL,SELL,-10,333,787,TP
16 Feb 2024,09:32 AM,NSE_BPCL,BUY,10,340.7,787,EN

 
NSE_BAJAJFINSV results
01 Feb 2024,09:24 AM,NSE_BAJAJFINSV,BUY,10,1613,0,EN
02 Feb 2024,11:39 AM,NSE_BAJAJFINSV,SELL,-10,1661.4,484,TP
02 Feb 2024,12:24 PM,NSE_BAJAJFINSV,BUY,10,1654.75,484,EN

 
NSE_BAJFINANCE results
01 Feb 2024,09:20 AM,NSE_BAJFINANCE,BUY,10,6842.55,0,EN

 
NSE_BAJAJ-AUTO results
01 Feb 2024,09:31 AM,NSE_BAJAJ-AUTO,BUY,10,7672.3,0,EN
13 Feb 2024,09:20 AM,NSE_BAJAJ-AUTO,SELL,-10,7902.45,2301.5,TP
13 Feb 2024,11:02 AM,NSE_BAJAJ-AUTO,BUY,10,7894.75,2301.5,EN
14 Feb 2024,03:27 PM,NSE_BAJAJ-AUTO,SELL,-10,8131.6,4670,TP
15 Feb 2024,09:59 AM,NSE_BAJAJ-AUTO,BUY,10,8093.4,4670,EN
16 Feb 2024,09:42 AM,NSE_BAJAJ-AUTO,SELL,-10,8336.2,7098,TP
16 Feb 2024,10:04 AM,NSE_BAJAJ-AUTO,BUY,10,8363.55,7098,EN
19 Feb 2024,09:36 AM,NSE_BAJAJ-AUTO,SELL,-10,8614.45,9607,TP
19 Feb 2024,09:49 AM,NSE_BAJAJ-AUTO,BUY,10,8580,9607,EN

 
NSE_AXISBANK results
01 Feb 2024,09:24 AM,NSE_AXISBANK,BUY,10,1063.4,0,EN
02 Feb 2024,11:40 AM,NSE_AXISBANK,SELL,-10,1095.3,319,TP
02 Feb 2024,11:50 AM,NSE_AXISBANK,BUY,10,1089.85,319,EN

 
NSE_ASIANPAINT results
01 Feb 2024,10:16 AM,NSE_ASIANPAINT,BUY,10,2940.1,0,EN
16 Feb 2024,09:15 AM,NSE_ASIANPAINT,SELL,-10,3035,949,TP
16 Feb 2024,10:49 AM,NSE_ASIANPAINT,BUY,10,3020,949,EN

 
NSE_ADANIPORTS results
01 Feb 2024,10:15 AM,NSE_ADANIPORTS,BUY,10,1216.9,0,EN
02 Feb 2024,09:15 AM,NSE_ADANIPORTS,SELL,-10,1253.4,365,TP
02 Feb 2024,10:03 AM,NSE_ADANIPORTS,BUY,10,1279.9,365,EN
19 Feb 2024,09:15 AM,NSE_ADANIPORTS,SELL,-10,1318.3000000000002,749,TP
19 Feb 2024,09:39 AM,NSE_ADANIPORTS,BUY,10,1310,749,EN

 
NSE_APOLLOHOSP results
01 Feb 2024,10:15 AM,NSE_APOLLOHOSP,BUY,10,6356.05,0,EN
12 Feb 2024,09:53 AM,NSE_APOLLOHOSP,SELL,-10,6546.75,1907,TP
12 Feb 2024,11:52 AM,NSE_APOLLOHOSP,BUY,10,6638.85,1907,EN
22 Feb 2024,09:23 AM,NSE_APOLLOHOSP,SELL,-10,6838,3898.5,TP
22 Feb 2024,09:50 AM,NSE_APOLLOHOSP,BUY,10,6785.55,3898.5,EN

 
NSE_ADANIENT results
01 Feb 2024,09:37 AM,NSE_ADANIENT,BUY,10,3132.3,0,EN
01 Feb 2024,02:10 PM,NSE_ADANIENT,SELL,-10,3226.25,939.5,TP
01 Feb 2024,02:26 PM,NSE_ADANIENT,BUY,10,3178,939.5,EN
07 Feb 2024,10:06 AM,NSE_ADANIENT,SELL,-10,3273.3500000000004,1893,TP
07 Feb 2024,10:43 AM,NSE_ADANIENT,BUY,10,3242.35,1893,EN
26 Feb 2024,01:34 PM,NSE_ADANIENT,SELL,-10,3339.6,2865.5,TP
26 Feb 2024,02:12 PM,NSE_ADANIENT,BUY,10,3336,2865.5,EN

 
