SYMBOL,DATE1,LAST_PRICE
DREAMFOLKS,26-Oct-2023,489.40
DREDGECORP,26-Oct-2023,441.60
DRREDDY,26-Oct-2023,5423.90
DSPBANKETF,26-Oct-2023,42.70
DSPGOLDETF,26-Oct-2023,60.50
DSPITETF,26-Oct-2023,32.80
DSPN50ETF,26-Oct-2023,192.76
DSPNEWETF,26-Oct-2023,231.25
DSPPSBKETF,26-Oct-2023,47.11
DSPPVBKETF,26-Oct-2023,23.25
DSPQ50ETF,26-Oct-2023,182.93
DSPSENXETF,26-Oct-2023,63.42
DSPSILVETF,26-Oct-2023,71.00
DSSL,26-Oct-2023,654.00
DTIL,26-Oct-2023,211.40
DVL,26-Oct-2023,280.10
DWARKESH,26-Oct-2023,93.20
DYNAMATECH,26-Oct-2023,3909.95
DYNPRO,26-Oct-2023,301.10
EASEMYTRIP,26-Oct-2023,38.55
EBBETF0425,26-Oct-2023,1157.20
EBBETF0430,26-Oct-2023,1297.57
EBBETF0431,26-Oct-2023,1156.61
EBBETF0433,26-Oct-2023,1054.98
ECLERX,26-Oct-2023,1908.95
EDELWEISS,26-Oct-2023,62.20
EICHERMOT,26-Oct-2023,3325.00
EIDPARRY,26-Oct-2023,465.50
EIFFL,26-Oct-2023,139.50
EIHAHOTELS,26-Oct-2023,437.80
EIHOTEL,26-Oct-2023,215.00
EIMCOELECO,26-Oct-2023,1393.00
EKC,26-Oct-2023,111.95
ELDEHSG,26-Oct-2023,700.05
ELECON,26-Oct-2023,775.00
ELECTCAST,26-Oct-2023,80.20
ELGIEQUIP,26-Oct-2023,472.00
ELIN,26-Oct-2023,162.95
EMAMILTD,26-Oct-2023,499.00
EMAMIPAP,26-Oct-2023,131.90
EMAMIREAL,26-Oct-2023,85.00
EMIL,26-Oct-2023,163.10
EMKAY,26-Oct-2023,90.05
EMMBI,26-Oct-2023,108.75
EMSLIMITED,26-Oct-2023,286.00
EMUDHRA,26-Oct-2023,430.70
ENDURANCE,26-Oct-2023,1585.00
ENERGYDEV,26-Oct-2023,17.50
ENGINERSIN,26-Oct-2023,118.75
ENIL,26-Oct-2023,170.00
EPIGRAL,26-Oct-2023,900.00
EPL,26-Oct-2023,182.80
EQUITASBNK,26-Oct-2023,93.40
ERIS,26-Oct-2023,814.05
EROSMEDIA,26-Oct-2023,18.30
ESABINDIA,26-Oct-2023,5537.00
ESCORTS,26-Oct-2023,3130.00
ESG,26-Oct-2023,30.96
ESTER,26-Oct-2023,90.90
ETHOSLTD,26-Oct-2023,1635.80
EVEREADY,26-Oct-2023,348.00
EVERESTIND,26-Oct-2023,1207.00
EXCELINDUS,26-Oct-2023,841.00
EXIDEIND,26-Oct-2023,246.00
EXPLEOSOL,26-Oct-2023,1320.00
EXXARO,26-Oct-2023,125.00
FACT,26-Oct-2023,655.00
FAIRCHEMOR,26-Oct-2023,1049.50
FAZE3Q,26-Oct-2023,474.00
FCL,26-Oct-2023,293.10
FCSSOFT,26-Oct-2023,2.55
FDC,26-Oct-2023,354.20
FEDERALBNK,26-Oct-2023,138.15
FIBERWEB,26-Oct-2023,30.30
FIEMIND,26-Oct-2023,1695.00
FILATEX,26-Oct-2023,47.40
FINCABLES,26-Oct-2023,850.65
FINEORG,26-Oct-2023,4490.00
